letter_number,amount
"2887",3000
"2867",1950
"2884",26371
"2915",26784
"2812",47280
"2813",5034
"2848",12581
"2836",1440
"2810",36633
"2876",3190
"2827",4429
"2783",7157
"2846",2488113
"2829",5853
"2833",1440
"2908",870935
"2907",48952
"2857",277121
"2906",75934
"2775",4500
"2852",27825
"1682",2762
"1665",21471
"1664",21471
"2832",38897
"1663",21471
"1669",4156
"1667",2469
"2774",3236
"1672",10129
"2850",477781
"1655",10158
"1654",7947
"1653",7947
"1659",39874
"1661",31330
"1660",10980
"2902",1543186
"2901",1543186
"2896",107814
"2817",10472
"2815",1101117
"2816",235813
"2830",542750
"1721",179968
"1720",1682
"1719",45327
"1718",99911
"1713",7266
"1717",31749
"1715",12752
"1710",15313
"1709",155347
"1708",155347
"2869",17550
"1707",155347
"1712",9784
"1711",38098
"1706",155347
"1705",155347
"1704",7566
"1703",32240
"2761",1071643
"2795",2179536
"1702",852
"1701",1968
"2791",127210
"1695",5515
"1694",2164
"2789",127210
"2787",3866802
"2786",13438
"2868",195047
"2890",9073
"2891",7386
"2914",3263
"2888",780147
"2759",2875
"2925",399849
"2924",399849
"1651",7947
"2928",17813
"2927",17813
"1649",7947
"1691",2164
"1683",2892
"1681",48278
"1666",21471
"1668",3298
"1671",833
"1657",3968
"1662",58020
"2811",13415
"1716",4325
"2872",32170
"1648",7947
"1647",7947
"1646",7947
"1652",7947
"1650",7947
"2926",399849
"2767",23056
"2834",330490
"2840",72058
"2805",3206312
"2777",219148
"2804",223771
"2799",1547063
"2883",23438
"2910",191216
"2821",97453
"2882",1998498
"2823",148213
"2772",36113
"2831",5928
"2881",16928
"2905",21225
"1688",3042
"2921",42761
"2866",832609
"2788",455729
"2765",6625
"2764",7399
"2763",54844
"2796",6763
"2781",34386
"2782",177965
"2917",22613
